"block_id","conc_r","conc_c","inhibition","drug_row","drug_col","conc_r_unit","conc_c_unit","cell_line_name","drug_row_cid","drug_col_cid","cellosaurus_accession","study_name"
"79933","0","0","-0.000626453810742332","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0","0.045","4.79411553161588","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0","0.2","14.9311717811685","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0","0.9","31.036465066391","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0","4","40.0694189773716","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0.625","0","1.66091064332422","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0.625","0.045","15.0824874290524","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0.625","0.2","16.2433898432364","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0.625","0.9","40.0939838097369","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","0.625","4","44.0897821363007","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","1.25","0","5.96418237138759","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","1.25","0.045","25.0277383247051","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","1.25","0.2","23.1773787594195","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","1.25","0.9","44.4469438362107","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","1.25","4","49.2020745649834","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","2.5","0","16.5843952808021","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","2.5","0.045","45.9325757813517","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","2.5","0.2","47.8647853001128","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","2.5","0.9","64.6668212211951","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","2.5","4","75.0660106483041","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","5","0","41.2580895077718","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","5","0.045","58.2496946116128","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","5","0.2","65.1751249309181","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","5","0.9","83.6105939013212","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"
"79933","5","4","95.7456198257479","SUNITINIB","MK-2206","uM","uM","UACC62","5329102","24964624","CVCL_1780","ONEIL"